Referencia, Color, Cantidad, TInicial, TFinal 
8, Blanco  ,60,4629.1,4637.78
8, Blanco  ,60,4637.78,4646.46
8, Blanco  ,60,4646.46,4655.14
8, Blanco  ,60,4655.14,4663.82
8, Blanco  ,60,4663.82,4672.5
8, Blanco  ,60,4672.5,4681.18
8, Blanco  ,60,4681.18,4689.86
8, Blanco  ,60,4689.86,4698.54
8, Blanco  ,60,4698.54,4707.22
8, Blanco  ,60,4707.22,4715.9
8, Blanco  ,60,4715.9,4724.58
8, Blanco  ,60,4724.58,4733.26
8, Blanco  ,60,4733.26,4741.94
8, Blanco  ,60,4741.94,4750.62
8, Blanco  ,60,4750.62,4759.3
8, Blanco  ,60,4759.3,4767.98
8, Blanco  ,60,4767.98,4776.66
8, Blanco  ,60,4776.66,4785.34
8, Blanco  ,60,4785.34,4794.02
8, Blanco  ,60,4794.02,4802.7
8, Blanco  ,60,4802.7,4811.38
8, Blanco  ,60,4811.38,4820.06
8, Blanco  ,60,4820.06,4828.74
8, Blanco  ,60,4828.74,4837.42
8, Blanco  ,60,4837.42,4846.1
8, Blanco  ,60,4846.1,4854.78
8, Blanco  ,60,4854.78,4863.46
8, Blanco  ,60,4863.46,4872.14
8, Blanco  ,60,4872.14,4880.82
8, Blanco  ,60,4880.82,4889.5
8, Blanco  ,60,4889.5,4898.18
8, Blanco  ,60,4898.18,4906.86
8, Blanco  ,60,4906.86,4915.54
8, Blanco  ,60,4915.54,4924.22
8, Blanco  ,60,4924.22,4932.9
8, Blanco  ,60,4932.9,4941.58
8, Blanco  ,60,4941.58,4950.26
8, Blanco  ,60,4950.26,4958.94
8, Blanco  ,60,4958.94,4967.62
8, Blanco  ,60,4967.62,4976.3
8, Blanco  ,24,4976.3,4984.98
2, Blanco  ,100,4984.98,4999.38
2, Blanco  ,100,4999.38,5013.78
2, Blanco  ,100,5013.78,5028.18
2, Blanco  ,100,5028.18,5042.58
2, Blanco  ,100,5042.58,5056.98
2, Blanco  ,100,5056.98,5071.38
2, Blanco  ,100,5071.38,5085.78
2, Blanco  ,100,5085.78,5100.18
2, Blanco  ,100,5100.18,5114.58
2, Blanco  ,100,5114.58,5128.98
2, Blanco  ,100,5128.98,5143.38
2, Blanco  ,100,5143.38,5157.78
2, Blanco  ,100,5157.78,5172.18
2, Blanco  ,100,5172.18,5186.58
2, Blanco  ,100,5186.58,5200.98
2, Blanco  ,100,5200.98,5215.38
2, Blanco  ,100,5215.38,5229.78
2, Blanco  ,100,5229.78,5244.18
2, Blanco  ,100,5244.18,5258.58
2, Blanco  ,100,5258.58,5272.98
2, Blanco  ,100,5272.98,5287.38
2, Blanco  ,100,5287.38,5301.78
2, Blanco  ,100,5301.78,5316.18
2, Blanco  ,100,5316.18,5330.58
2, Blanco  ,100,5330.58,5344.98
2, Blanco  ,60,5344.98,5359.38
2, Amarillo,100,5359.38,5373.78
2, Amarillo,100,5373.78,5388.18
2, Amarillo,100,5388.18,5402.58
2, Amarillo,100,5402.58,5416.98
2, Amarillo,100,5416.98,5431.38
2, Amarillo,100,5431.38,5445.78
2, Amarillo,100,5445.78,5460.18
2, Amarillo,100,5460.18,5474.58
2, Amarillo,100,5474.58,5488.98
2, Amarillo,100,5488.98,5503.38
2, Amarillo,100,5503.38,5517.78
2, Amarillo,100,5517.78,5532.18
2, Amarillo,80,5532.18,5546.58
2, Rojo    ,100,5546.58,5560.98
2, Rojo    ,100,5560.98,5575.38
2, Rojo    ,100,5575.38,5589.78
2, Rojo    ,100,5589.78,5604.18
2, Rojo    ,100,5604.18,5618.58
2, Rojo    ,100,5618.58,5632.98
2, Rojo    ,40,5632.98,5647.38
12, Blanco  ,40,5647.38,5651.94
12, Blanco  ,40,5651.94,5656.5
12, Blanco  ,40,5656.5,5661.06
12, Blanco  ,40,5661.06,5665.62
12, Blanco  ,40,5665.62,5670.18
12, Blanco  ,40,5670.18,5674.74
12, Blanco  ,40,5674.74,5679.3
12, Blanco  ,40,5679.3,5683.86
12, Blanco  ,40,5683.86,5688.42
12, Blanco  ,40,5688.42,5692.98
12, Blanco  ,40,5692.98,5697.54
12, Blanco  ,40,5697.54,5702.1
12, Blanco  ,40,5702.1,5706.66
12, Blanco  ,40,5706.66,5711.22
12, Blanco  ,40,5711.22,5715.78
12, Blanco  ,40,5715.78,5720.34
12, Blanco  ,40,5720.34,5724.9
12, Blanco  ,40,5724.9,5729.46
12, Blanco  ,40,5729.46,5734.02
12, Blanco  ,40,5734.02,5738.58
12, Blanco  ,40,5738.58,5743.14
12, Blanco  ,40,5743.14,5747.7
12, Blanco  ,40,5747.7,5752.26
12, Blanco  ,40,5752.26,5756.82
12, Blanco  ,40,5756.82,5761.38
12, Blanco  ,40,5761.38,5765.94
12, Blanco  ,40,5765.94,5770.5
12, Blanco  ,40,5770.5,5775.06
12, Blanco  ,40,5775.06,5779.62
12, Blanco  ,40,5779.62,5784.18
12, Blanco  ,40,5784.18,5788.74
12, Blanco  ,40,5788.74,5793.3
12, Blanco  ,40,5793.3,5797.86
12, Blanco  ,40,5797.86,5802.42
12, Blanco  ,40,5802.42,5806.98
12, Blanco  ,40,5806.98,5811.54
12, Blanco  ,40,5811.54,5816.1
12, Blanco  ,40,5816.1,5820.66
12, Blanco  ,40,5820.66,5825.22
12, Blanco  ,40,5825.22,5829.78
12, Blanco  ,40,5829.78,5834.34
12, Blanco  ,40,5834.34,5838.9
12, Blanco  ,40,5838.9,5843.46
12, Blanco  ,40,5843.46,5848.02
12, Blanco  ,40,5848.02,5852.58
12, Blanco  ,40,5852.58,5857.14
12, Blanco  ,40,5857.14,5861.7
12, Blanco  ,40,5861.7,5866.26
12, Blanco  ,40,5866.26,5870.82
12, Blanco  ,8,5870.82,5875.38
4, Blanco  ,64,5875.38,5887.18
4, Blanco  ,64,5887.18,5898.98
4, Blanco  ,64,5898.98,5910.78
4, Blanco  ,64,5910.78,5922.58
4, Blanco  ,64,5922.58,5934.38
4, Blanco  ,64,5934.38,5946.18
4, Blanco  ,64,5946.18,5957.98
4, Blanco  ,64,5957.98,5969.78
4, Blanco  ,64,5969.78,5981.58
4, Blanco  ,64,5981.58,5993.38
22, Blanco  ,24,5993.38,5998.12
22, Blanco  ,24,5998.12,6002.86
22, Blanco  ,24,6002.86,6007.6
22, Blanco  ,24,6007.6,6012.34
22, Blanco  ,24,6012.34,6017.08
22, Blanco  ,24,6017.08,6021.82
22, Blanco  ,24,6021.82,6026.56
22, Blanco  ,24,6026.56,6031.3
22, Blanco  ,12,6031.3,6036.04
6, Blanco  ,91,6036.04,6047.82
6, Blanco  ,91,6047.82,6059.6
6, Blanco  ,91,6059.6,6071.38
6, Blanco  ,91,6071.38,6083.16
6, Blanco  ,91,6083.16,6094.94
6, Blanco  ,91,6094.94,6106.72
6, Blanco  ,91,6106.72,6118.5
6, Blanco  ,91,6118.5,6130.28
6, Blanco  ,91,6130.28,6142.06
6, Blanco  ,91,6142.06,6153.84
6, Blanco  ,91,6153.84,6165.62
6, Blanco  ,91,6165.62,6177.4
6, Blanco  ,91,6177.4,6189.18
6, Blanco  ,91,6189.18,6200.96
6, Blanco  ,91,6200.96,6212.74
6, Blanco  ,91,6212.74,6224.52
6, Blanco  ,91,6224.52,6236.3
6, Blanco  ,91,6236.3,6248.08
6, Blanco  ,91,6248.08,6259.86
6, Blanco  ,91,6259.86,6271.64
6, Blanco  ,91,6271.64,6283.42
6, Blanco  ,91,6283.42,6295.2
6, Blanco  ,91,6295.2,6306.98
6, Blanco  ,91,6306.98,6318.76
6, Blanco  ,91,6318.76,6330.54
6, Blanco  ,91,6330.54,6342.32
6, Blanco  ,91,6342.32,6354.1
6, Blanco  ,91,6354.1,6365.88
6, Blanco  ,91,6365.88,6377.66
6, Blanco  ,91,6377.66,6389.44
6, Blanco  ,91,6389.44,6401.22
6, Blanco  ,91,6401.22,6413
6, Blanco  ,91,6413,6424.78
6, Blanco  ,91,6424.78,6436.56
6, Blanco  ,91,6436.56,6448.34
6, Blanco  ,91,6448.34,6460.12
6, Blanco  ,91,6460.12,6471.9
6, Blanco  ,91,6471.9,6483.68
6, Blanco  ,91,6483.68,6495.46
6, Blanco  ,91,6495.46,6507.24
6, Blanco  ,91,6507.24,6519.02
6, Blanco  ,91,6519.02,6530.8
6, Blanco  ,91,6530.8,6542.58
6, Blanco  ,91,6542.58,6554.36
6, Blanco  ,91,6554.36,6566.14
6, Blanco  ,91,6566.14,6577.92
6, Blanco  ,91,6577.92,6589.7
6, Blanco  ,91,6589.7,6601.48
6, Blanco  ,91,6601.48,6613.26
6, Blanco  ,91,6613.26,6625.04
6, Blanco  ,91,6625.04,6636.82
6, Blanco  ,91,6636.82,6648.6
